Page URL,File,Page Title,Meta Description Status,H1 Count,H1 Text,Shared JS,GA Present,GTM Present,HubSpot Present,reCAPTCHA Present,Known Issues,Owner,Status,Notes
/Capabilities,Capabilities.html,Celsior | Capabilities — AI-Led Engineering,Present,1,Legacy systems slow you down. AI-led engineering gets you ahead.,yes,no,no,no,no,Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1778645514/12_fqkmxq.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1778645515/13_otvcxp.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1778645514/14_vsqdxw.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1777869311/Dynatrace_1_t3ayxc.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1777869312/ServiceNow_1_plissc.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1777869312/Boomi_1_kvrpcd.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1777869311/GuideWire_logo_color_1_whi7lu.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1777869312/RingCentral_1_zjcj4f.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1777869312/Informatica_1_gkhjs0.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1778646704/7_vmwgl8.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1778646705/8_tdax9f.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1778646698/9_kwym5i.png | Accessibility: Image missing alt text: ${d.imgs.p1} | Accessibility: Image missing alt text: ${d.imgs.p2} | Accessibility: Image missing alt text: ${d.imgs.shield} | Accessibility: Image missing alt text: ${d.imgs.dash},,Needs Review,
/Our_Focus,Our_Focus.html,Celsior | AI-First Digital Engineering,Present,1,AI-First digital engineering that evolves at the speed of your business.,yes,no,no,no,no,Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1778616276/9_sg1ssf.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1778616276/10_vklfrz.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1778616276/11_ojaddh.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1778615984/1_rsqe5e.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1778615985/2_rqynuj.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1778615983/3_gt3g7i.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1777869311/Dynatrace_1_t3ayxc.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1777869312/ServiceNow_1_plissc.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1777869312/Boomi_1_kvrpcd.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1777869311/GuideWire_logo_color_1_whi7lu.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1777869312/RingCentral_1_zjcj4f.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1777869312/Informatica_1_gkhjs0.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1778614980/4_ywqbo9.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1778614983/5_eokkdp.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1778614981/6_xp1ryj.png,,Needs Review,
/Solutions,Solutions.html,Celsior | Solutions — Managed Programs,Missing,1,Your platforms should deliver what they promised on day one. We make sure they do.,yes,no,no,no,no,SEO: Missing meta description | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1778577642/e635f926-6c6b-4155-928d-bdf0cb79d91a_y | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1778579833/5_ohhyvq.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1778579833/6_hfcvls.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1778579832/7_qpjayv.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1778585914/1_hkqc4o.jpg | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1778585913/2_sniefj.jpg | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1778585914/3_oi980a.jpg | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1777869311/Dynatrace_1_t3ayxc.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1777869312/ServiceNow_1_plissc.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1777869312/Boomi_1_kvrpcd.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1777869311/GuideWire_logo_color_1_whi7lu.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1777869312/RingCentral_1_zjcj4f.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1777869312/Informatica_1_gkhjs0.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1778587408/1_d2ouxt.jpg | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1778587414/3_lwxxsk.jpg | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1778587408/2_jp1pcn.jpg,,Needs Review,
/about/who-we-are,about/who-we-are/index.html,About Celsior — Celsior,Missing,1,Engineering Partner for Regulated Industries.,yes,no,no,no,no,SEO: Missing meta description,,Needs Review,
/about-leadership,about-leadership/index.html,About Celsior — Celsior,Missing,1,Engineering Partner for Regulated Industries.,yes,no,no,no,no,SEO: Missing meta description,,Needs Review,
/about,about.html,About Celsior — Celsior,Missing,1,Engineering Partner for Regulated Industries.,yes,no,no,no,no,SEO: Missing meta description,,Needs Review,
/ai-adoption,ai-adoption.html,Celsior | AI-First Digital Engineering,Present,1,Deploy AI that regulators can audit and businesses can trust,yes,no,no,no,no,Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1779989036/31_qlbnw3.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1779989036/32_yii8gx.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1779989037/33_wm6lv1.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1779989575/18_bzeen4.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1779989575/17_ssgwl4.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1779989575/16_ya8u5c.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1777869311/Dynatrace_1_t3ayxc.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1777869312/ServiceNow_1_plissc.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1777869312/Boomi_1_kvrpcd.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1777869311/GuideWire_logo_color_1_whi7lu.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1777869312/RingCentral_1_zjcj4f.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1777869312/Informatica_1_gkhjs0.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1779991297/13_zi7wmp.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1779991296/14_hhdqh7.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1779991300/15_sfz534.png,,Needs Review,
/ai-and-data,ai-and-data.html,Celsior | Capabilities — AI-Led Engineering,Present,1,"Make decisions in hours, not weeks.",yes,no,no,no,no,Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1779994286/34_ncgiuz.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1779994287/35_wa7bjj.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1779994287/36_q8jhwq.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1778646704/7_vmwgl8.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1778646705/8_tdax9f.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1778646698/9_kwym5i.png | Accessibility: Image missing alt text: ${d.imgs.p1} | Accessibility: Image missing alt text: ${d.imgs.p2} | Accessibility: Image missing alt text: ${d.imgs.shield} | Accessibility: Image missing alt text: ${d.imgs.dash},,Needs Review,
/ai-first-digital-engineering,ai-first-digital-engineering.html,Celsior | AI-First Digital Engineering,Present,1,AI-First digital engineering that evolves at the speed of your business.,yes,no,no,no,no,Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1778616276/9_sg1ssf.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1778616276/10_vklfrz.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1778616276/11_ojaddh.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1778615984/1_rsqe5e.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1778615985/2_rqynuj.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1778615983/3_gt3g7i.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1777869311/Dynatrace_1_t3ayxc.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1777869312/ServiceNow_1_plissc.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1777869312/Boomi_1_kvrpcd.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1777869311/GuideWire_logo_color_1_whi7lu.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1777869312/RingCentral_1_zjcj4f.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1777869312/Informatica_1_gkhjs0.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1778614980/4_ywqbo9.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1778614983/5_eokkdp.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1778614981/6_xp1ryj.png,,Needs Review,
/ai-innovation,ai-innovation.html,AI & Innovation — Celsior,Missing,1,"Enterprise AI That Runs in Production, Not Just Pilots.",yes,no,no,no,no,SEO: Missing meta description,,Needs Review,
/ai-led-engineering,ai-led-engineering.html,Celsior | Capabilities — AI-Led Engineering,Present,1,Legacy systems slow you down. AI-led engineering gets you ahead.,yes,no,no,no,no,Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1778645514/12_fqkmxq.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1778645515/13_otvcxp.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1778645514/14_vsqdxw.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1777869311/Dynatrace_1_t3ayxc.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1777869312/ServiceNow_1_plissc.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1777869312/Boomi_1_kvrpcd.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1777869311/GuideWire_logo_color_1_whi7lu.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1777869312/RingCentral_1_zjcj4f.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1777869312/Informatica_1_gkhjs0.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1778646704/7_vmwgl8.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1778646705/8_tdax9f.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1778646698/9_kwym5i.png | Accessibility: Image missing alt text: ${d.imgs.p1} | Accessibility: Image missing alt text: ${d.imgs.p2} | Accessibility: Image missing alt text: ${d.imgs.shield} | Accessibility: Image missing alt text: ${d.imgs.dash},,Needs Review,
/ai-upskilling,ai-upskilling.html,Celsior | Solutions — Managed Programs,Missing,1,The return on your AI investment depends entirely on whether your workforce can act on it. Celsior ensures they can.,yes,no,no,no,no,SEO: Missing meta description | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1780294854/63f34698f565c005a29820ab6de35ef32cf5ac | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1780295659/53_jo5x8m.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1780295659/54_xggjcq.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1780295659/55_gjigb4.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1780297225/22_ioe0kc.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1780297225/23_fpkwrt.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1780297225/24_glizc1.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1780298821/16_yfwmw4.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1780298830/17_pysdef.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1780298828/18_ju1rap.png,,Needs Review,
/banking-financial-services,banking-financial-services/index.html,Banking & Financial Services — Celsior,Present,2,Banking & Financial Services / 20+ Institutions | Decades of data. Dozens of systems. Zero unified picture. We fix that.,yes,no,no,no,no,Content/SEO: Multiple H1s found: 2 | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1780303691/19_kdbrye.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1780303691/19_kdbrye.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1780303691/19_kdbrye.png | Content/SEO: Multiple H1s found: 2 | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1780303691/19_kdbrye.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1780303691/19_kdbrye.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1780303691/19_kdbrye.png,,Needs Review,
/banking-financial-services,banking-financial-services.html,Banking & Financial Services — Celsior,Present,2,Banking & Financial Services / 20+ Institutions | Decades of data. Dozens of systems. Zero unified picture. We fix that.,yes,no,no,no,no,Content/SEO: Multiple H1s found: 2 | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1780303691/19_kdbrye.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1780303691/19_kdbrye.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1780303691/19_kdbrye.png | Content/SEO: Multiple H1s found: 2 | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1780303691/19_kdbrye.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1780303691/19_kdbrye.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1780303691/19_kdbrye.png,,Needs Review,
/capabilities/ai-and-data,capabilities/ai-and-data/index.html,Celsior | Capabilities — AI-Led Engineering,Present,1,"Make decisions in hours, not weeks.",yes,no,no,no,no,Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1779994286/34_ncgiuz.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1779994287/35_wa7bjj.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1779994287/36_q8jhwq.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1778646704/7_vmwgl8.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1778646705/8_tdax9f.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1778646698/9_kwym5i.png | Accessibility: Image missing alt text: ${d.imgs.p1} | Accessibility: Image missing alt text: ${d.imgs.p2} | Accessibility: Image missing alt text: ${d.imgs.shield} | Accessibility: Image missing alt text: ${d.imgs.dash},,Needs Review,
/capabilities/ai-led-engineering,capabilities/ai-led-engineering/index.html,Celsior | Capabilities — AI-Led Engineering,Present,1,Legacy systems slow you down. AI-led engineering gets you ahead.,yes,no,no,no,no,Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1778645514/12_fqkmxq.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1778645515/13_otvcxp.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1778645514/14_vsqdxw.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1777869311/Dynatrace_1_t3ayxc.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1777869312/ServiceNow_1_plissc.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1777869312/Boomi_1_kvrpcd.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1777869311/GuideWire_logo_color_1_whi7lu.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1777869312/RingCentral_1_zjcj4f.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1777869312/Informatica_1_gkhjs0.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1778646704/7_vmwgl8.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1778646705/8_tdax9f.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1778646698/9_kwym5i.png | Accessibility: Image missing alt text: ${d.imgs.p1} | Accessibility: Image missing alt text: ${d.imgs.p2} | Accessibility: Image missing alt text: ${d.imgs.shield} | Accessibility: Image missing alt text: ${d.imgs.dash},,Needs Review,
/capabilities/cloud-and-infrastructure-engineering,capabilities/cloud-and-infrastructure-engineering/index.html,Celsior | Capabilities — AI-Led Engineering,Present,1,Cut cloud costs by 35% while deploying twice as fast.,yes,no,no,no,no,Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1778645514/12_fqkmxq.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1778645515/13_otvcxp.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1778645514/14_vsqdxw.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1778646704/7_vmwgl8.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1778646705/8_tdax9f.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1778646698/9_kwym5i.png | Accessibility: Image missing alt text: ${d.imgs.p1} | Accessibility: Image missing alt text: ${d.imgs.p2} | Accessibility: Image missing alt text: ${d.imgs.shield} | Accessibility: Image missing alt text: ${d.imgs.dash},,Needs Review,
/capabilities/digital-operations-and-security,capabilities/digital-operations-and-security/index.html,Celsior | Capabilities — AI-Led Engineering,Present,1,"Resolve incidents in minutes, not hours. Prevent breaches before they happen.",yes,no,no,no,no,Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1780026818/37_l5xezt.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1780026818/38_gbcycu.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1780026818/39_sasun0.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1778646704/7_vmwgl8.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1778646705/8_tdax9f.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1778646698/9_kwym5i.png | Accessibility: Image missing alt text: ${d.imgs.p1} | Accessibility: Image missing alt text: ${d.imgs.p2} | Accessibility: Image missing alt text: ${d.imgs.shield} | Accessibility: Image missing alt text: ${d.imgs.dash},,Needs Review,
/capabilities,capabilities/index.html,Celsior | Capabilities — AI-Led Engineering,Present,1,Legacy systems slow you down. AI-led engineering gets you ahead.,yes,no,no,no,no,Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1778645514/12_fqkmxq.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1778645515/13_otvcxp.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1778645514/14_vsqdxw.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1777869311/Dynatrace_1_t3ayxc.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1777869312/ServiceNow_1_plissc.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1777869312/Boomi_1_kvrpcd.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1777869311/GuideWire_logo_color_1_whi7lu.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1777869312/RingCentral_1_zjcj4f.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1777869312/Informatica_1_gkhjs0.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1778646704/7_vmwgl8.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1778646705/8_tdax9f.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1778646698/9_kwym5i.png | Accessibility: Image missing alt text: ${d.imgs.p1} | Accessibility: Image missing alt text: ${d.imgs.p2} | Accessibility: Image missing alt text: ${d.imgs.shield} | Accessibility: Image missing alt text: ${d.imgs.dash},,Needs Review,
/capabilities/security-and-governance,capabilities/security-and-governance/index.html,Celsior | Capabilities — AI-Led Engineering,Present,1,Pass audits without slowing down delivery. Deploy AI without regulatory risk.,yes,no,no,no,no,Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1780032040/40_djh2cq.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1780032040/41_sxar5k.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1780032040/42_ysyekf.png | Accessibility: Image missing alt text: https://plus.unsplash.com/premium_photo-1681843039768-0e22b7a031d5?q=80&w=1172&auto=format&fit=crop& | Accessibility: Image missing alt text: https://images.unsplash.com/photo-1460925895917-afdab827c52f?q=80&w=1115&auto=format&fit=crop&ixlib= | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1778646704/7_vmwgl8.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1778646705/8_tdax9f.png | Accessibility: Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1778646698/9_kwym5i.png | Accessibility: Image missing alt text: ${d.imgs.p1} | Accessibility: Image missing alt text: ${d.imgs.p2} | Accessibility: Image missing alt text: ${d.imgs.shield} | Accessibility: Image missing alt text: ${d.imgs.dash},,Needs Review,
